date,max_temp,min_temp
2026-06-26,15.8,8.3
2026-06-27,12.1,7.1
2026-06-28,9.2,5.2
2026-06-29,5.7,4.8
2026-06-30,8.0,5.1
2026-07-01,17.6,6.2
2026-07-02,18.4,5.3
